Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_line	dev_stage	donor_ID	health_state	lab	sample_type	sex	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		196	PRJNA236018	SAMN02732133		public	sra	SRX534824	0	Illumina HiSeq 2000	PAIRED	cDNA	plate_A7_100cell	2014-05-08	4	2	ILLUMINA	2014-08-02	SRR1274083	SRS603541	SRP041736	plate_A7_100cell	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732133		public	sra	SRX534824	0	Illumina HiSeq 2000	PAIRED	cDNA	plate_A7_100cell	2014-05-08	228	157	ILLUMINA	2014-08-02	SRR1274091	SRS603541	SRP041736	plate_A7_100cell	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732087		public	sra	SRX534553	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C01	2014-05-08	497	343	ILLUMINA	2014-08-02	SRR1274344	SRS603270	SRP041736	chip_1g_C01	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732087		public	sra	SRX534553	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C01	2014-05-08	15	9	ILLUMINA	2014-08-02	SRR1274345	SRS603270	SRP041736	chip_1g_C01	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732088		public	sra	SRX534554	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C02	2014-05-08	574	398	ILLUMINA	2014-08-02	SRR1274346	SRS603271	SRP041736	chip_1g_C02	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		195	PRJNA236018	SAMN02732088		public	sra	SRX534554	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C02	2014-05-08	14	9	ILLUMINA	2014-08-02	SRR1274347	SRS603271	SRP041736	chip_1g_C02	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732089		public	sra	SRX534555	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C03	2014-05-08	343	237	ILLUMINA	2014-08-02	SRR1274348	SRS603272	SRP041736	chip_1g_C03	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		196	PRJNA236018	SAMN02732089		public	sra	SRX534555	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C03	2014-05-08	8	5	ILLUMINA	2014-08-02	SRR1274349	SRS603272	SRP041736	chip_1g_C03	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		250	PRJNA236018	SAMN02732090		public	sra	SRX534556	0	Illumina HiSeq 2000	PAIRED	cDNA	chip_1g_C07	2014-05-08	360	249	ILLUMINA	2014-08-02	SRR1274350	SRS603273	SRP041736	chip_1g_C07	53	K-562 (ATCC® CCL-243?)						female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02464751	BI	GRU	sra	SRX405606	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-157613	2014-10-03	4719	2135	ILLUMINA	2014-01-04	SRR1070573	SRS524272	SRP012682	K-562-SM-4BRWK								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465521	BI	GRU	sra	SRX406500	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-159457	2014-10-03	4375	1863	ILLUMINA	2014-01-04	SRR1072321	SRS524351	SRP012682	K-562-SM-4DM4W								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465701	BI	GRU	sra	SRX406837	302	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-167334	2014-10-03	5449	2500	ILLUMINA	2014-01-04	SRR1072998	SRS524379	SRP012682	K-562-SM-4IHK7								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCA_000001405.13	152	PRJNA75899	SAMN02466144	BI	GRU	sra	SRX408724	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-169431	2014-10-03	6895	3103	ILLUMINA	2014-01-05	SRR1076608	SRS524541	SRP012682	K-562-SM-4JBIQ								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02465498	BI	GRU	sra	SRX409091	400	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-150850	2014-10-03	5996	2721	ILLUMINA	2014-01-05	SRR1077334	SRS524574	SRP012682	K-562-SM-47JYY								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq	GCF_000001405.25	152	PRJNA75899	SAMN02466016	BI	GRU	sra	SRX409899	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-171520	2014-10-03	6741	3157	ILLUMINA	2014-01-05	SRR1078924	SRS524642	SRP012682	K-562-SM-4KKZ9								female	ncbi	TRANSCRIPTOMIC	Homo sapiens
