Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	ENA_FIRST_PUBLIC	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	g1k_pop_code	population	AssemblyName	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_LAST_UPDATE	LibrarySource	Organism	Strain	g1k_analysis_group
RNA-Seq	102	PRJEB11271	SAMN00001694	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130358	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	NA19238	2015-12-09	6220	3802	ILLUMINA	2015-10-27	ERR1050073	SRS000212	ERP012633	NA19238		YRI		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00001695	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130359	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	NA19239	2015-12-09	7048	4291	ILLUMINA	2015-10-27	ERR1050074	SRS000213	ERP012633	NA19239		YRI		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00001696	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130360	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	NA19240	2015-12-09	5760	3414	ILLUMINA	2015-10-27	ERR1050075	SRS000214	ERP012633	NA19240		YRI		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00006465	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130361	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	HG00512	2015-12-09	6425	3877	ILLUMINA	2015-10-27	ERR1050076	SRS008631	ERP012633	HG00512		CHS		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00006466	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130362	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	HG00513	2015-12-09	5700	3419	ILLUMINA	2015-10-27	ERR1050077	SRS008632	ERP012633	HG00513		CHS		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00006467	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130363	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	HG00514	2015-12-09	6719	4072	ILLUMINA	2015-10-27	ERR1050078	SRS008633	ERP012633	HG00514		CHS		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00006579	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130364	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	HG00731	2015-12-09	5472	3299	ILLUMINA	2015-10-27	ERR1050079	SRS008745	ERP012633	HG00731		PUR		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00006580	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130365	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	HG00732	2015-12-09	6812	4131	ILLUMINA	2015-10-27	ERR1050080	SRS008746	ERP012633	HG00732		PUR		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq	102	PRJEB11271	SAMN00006581	CENTER FOR HUMAN GENETIC RESEARCH, MASSACHUSETTS G		ERX1130366	300	Illumina HiSeq 2500	PAIRED	Oligo-dT	HG00733	2015-12-09	8956	5343	ILLUMINA	2015-10-27	ERR1050081	SRS008747	ERP012633	HG00733		PUR		public	sra	ncbi		TRANSCRIPTOMIC	Homo sapiens		
OTHER	36	PRJEB3365	SAMEA1573535	University of Geneva	2012-11-06	ERX162418	0	Illumina HiSeq 2000	SINGLE	cDNA	NA07000.1.MI_120104_3 extract	2012-11-06	134	82	ILLUMINA	2012-11-06	ERR187488	ERS185262	ERP001941	GEUV:NA07000		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573367	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162210	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19197.3.MI_120120_4 extract	2012-11-06	333	216	ILLUMINA	2012-11-06	ERR187489	ERS185054	ERP001941	GEUV:NA19197		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573405	CNAG and CRG	2012-11-06	ERX162517	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00251.2.MI_120126_8 extract	2012-11-06	295	175	ILLUMINA	2012-11-06	ERR187490	ERS185361	ERP001941	GEUV:HG00251		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573278	Leiden University Medical Center	2012-11-06	ERX162537	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18908.7.MI_120224_3 extract	2012-11-06	160	120	ILLUMINA	2012-11-06	ERR187491	ERS185381	ERP001941	GEUV:NA18908		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573165	University of Geneva	2012-11-06	ERX162182	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12383.1.MI_120104_1 extract	2012-11-06	731	446	ILLUMINA	2012-11-06	ERR187492	ERS185026	ERP001941	GEUV:NA12383		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573358	University of Geneva	2012-11-06	ERX162608	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19117.1.MI_120104_3 extract	2012-11-06	142	87	ILLUMINA	2012-11-06	ERR187493	ERS185452	ERP001941	GEUV:NA19117		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573361	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162475	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00285.3.MI_120120_5 extract	2012-11-06	405	270	ILLUMINA	2012-11-06	ERR187494	ERS185319	ERP001941	GEUV:HG00285		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573173	University of Geneva	2012-11-06	ERX162410	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12717.1.MI_120104_4 extract	2012-11-06	290	180	ILLUMINA	2012-11-06	ERR187495	ERS185254	ERP001941	GEUV:NA12717		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573533	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162379	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20516.5.MI_120327_3 extract	2012-11-06	662	381	ILLUMINA	2012-11-06	ERR187496	ERS185223	ERP001941	GEUV:NA20516		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573207	University of Geneva	2012-11-06	ERX162259	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12812.1.MI_120104_1 extract	2012-11-06	216	139	ILLUMINA	2012-11-06	ERR187497	ERS185103	ERP001941	GEUV:NA12812		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573390	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162495	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20819.3.MI_120120_6 extract	2012-11-06	524	335	ILLUMINA	2012-11-06	ERR187498	ERS185339	ERP001941	GEUV:NA20819		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573311	University of Geneva	2012-11-06	ERX162235	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00189.1.MI_120104_3 extract	2012-11-06	286	170	ILLUMINA	2012-11-06	ERR187499	ERS185079	ERP001941	GEUV:HG00189		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573156	University of Geneva	2012-11-06	ERX162398	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20504.1.MI_120104_2 extract	2012-11-06	482	274	ILLUMINA	2012-11-06	ERR187500	ERS185242	ERP001941	GEUV:NA20504		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573184	University of Geneva	2012-11-06	ERX162400	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12890.1.MI_120104_4 extract	2012-11-06	202	124	ILLUMINA	2012-11-06	ERR187501	ERS185244	ERP001941	GEUV:NA12890		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573221	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162536	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20582.4.MI_120208_5 extract	2012-11-06	372	233	ILLUMINA	2012-11-06	ERR187502	ERS185380	ERP001941	GEUV:NA20582		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573379	University of Geneva	2012-11-06	ERX162373	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20514.1.MI_120104_2 extract	2012-11-06	342	217	ILLUMINA	2012-11-06	ERR187503	ERS185217	ERP001941	GEUV:NA20514		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573193	University of Geneva	2012-11-06	ERX162204	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20505.1.MI_120104_1 extract	2012-11-06	111	67	ILLUMINA	2012-11-06	ERR187504	ERS185048	ERP001941	GEUV:NA20505		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573269	University of Geneva	2012-11-06	ERX162254	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00345.1.MI_120104_3 extract	2012-11-06	240	146	ILLUMINA	2012-11-06	ERR187505	ERS185098	ERP001941	GEUV:HG00345		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573096	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162408	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00344.4.MI_120208_5 extract	2012-11-06	298	188	ILLUMINA	2012-11-06	ERR187506	ERS185252	ERP001941	GEUV:HG00344		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573249	Leiden University Medical Center	2012-11-06	ERX162294	0	Illumina HiSeq 2000	SINGLE	cDNA	NA11893.7.MI_120224_2 extract	2012-11-06	1122	817	ILLUMINA	2012-11-06	ERR187507	ERS185138	ERP001941	GEUV:NA11893		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573420	CNAG and CRG	2012-11-06	ERX162516	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00276.2.MI_120126_2 extract	2012-11-06	372	252	ILLUMINA	2012-11-06	ERR187508	ERS185360	ERP001941	GEUV:HG00276		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573389	Leiden University Medical Center	2012-11-06	ERX162573	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00272.7.MI_120224_3 extract	2012-11-06	739	540	ILLUMINA	2012-11-06	ERR187509	ERS185417	ERP001941	GEUV:HG00272		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573498	CNAG and CRG	2012-11-06	ERX162217	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19099.2.MI_120126_4 extract	2012-11-06	365	238	ILLUMINA	2012-11-06	ERR187510	ERS185061	ERP001941	GEUV:NA19099		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573187	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162203	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00378.5.MI_120327_5 extract	2012-11-07	1332	912	ILLUMINA	2012-11-07	ERR187511	ERS185047	ERP001941	GEUV:HG00378		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573485	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162378	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00375.4.MI_120524_1 extract	2012-11-06	198	122	ILLUMINA	2012-11-06	ERR187512	ERS185222	ERP001941	GEUV:HG00375		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573190	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162476	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20520.3.MI_120120_3 extract	2012-11-06	201	133	ILLUMINA	2012-11-06	ERR187513	ERS185320	ERP001941	GEUV:NA20520		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573487	CNAG and CRG	2012-11-06	ERX162299	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12763.2.MI_120126_8 extract	2012-11-06	389	248	ILLUMINA	2012-11-06	ERR187514	ERS185143	ERP001941	GEUV:NA12763		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573484	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162393	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00236.5.MI_120327_5 extract	2012-11-06	1101	767	ILLUMINA	2012-11-06	ERR187515	ERS185237	ERP001941	GEUV:HG00236		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573387	CNAG and CRG	2012-11-06	ERX162615	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20828.2.MI_120126_8 extract	2012-11-06	282	166	ILLUMINA	2012-11-06	ERR187516	ERS185459	ERP001941	GEUV:NA20828		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573274	CNAG and CRG	2012-11-06	ERX162336	0	Illumina HiSeq 2000	SINGLE	cDNA	NA07357.2.MI_120126_7 extract	2012-11-06	488	313	ILLUMINA	2012-11-06	ERR187517	ERS185180	ERP001941	GEUV:NA07357		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573331	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162444	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12762.4.MI_120208_5 extract	2012-11-06	238	153	ILLUMINA	2012-11-06	ERR187518	ERS185288	ERP001941	GEUV:NA12762		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573394	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162245	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00178.4.MI_120524_3 extract	2012-11-07	97	61	ILLUMINA	2012-11-07	ERR187519	ERS185089	ERP001941	GEUV:HG00178		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573386	University of Geneva	2012-11-06	ERX162458	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00371.1.MI_120104_1 extract	2012-11-06	181	116	ILLUMINA	2012-11-06	ERR187520	ERS185302	ERP001941	GEUV:HG00371		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573138	CNAG and CRG	2012-11-06	ERX162300	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20534.2.MI_120126_2 extract	2012-11-06	564	381	ILLUMINA	2012-11-06	ERR187521	ERS185144	ERP001941	GEUV:NA20534		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
