Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	source_name	tissue	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		36	PRJNA145991	SAMN00709303	GEO	sra	SRX091763	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777185: AML 1	2014-05-31	404	299	ILLUMINA	2017-09-13	SRR330925	SRS257344	SRP007826	GSM777185		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709304	GEO	sra	SRX091764	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777186: AML 2	2014-05-31	442	325	ILLUMINA	2017-09-13	SRR330926	SRS257345	SRP007826	GSM777186		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709305	GEO	sra	SRX091765	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777187: AML 3	2014-05-31	286	220	ILLUMINA	2017-09-13	SRR330927	SRS257346	SRP007826	GSM777187		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709306	GEO	sra	SRX091766	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777188: APML 4	2014-05-31	367	271	ILLUMINA	2017-09-13	SRR330928	SRS257347	SRP007826	GSM777188		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709307	GEO	sra	SRX091767	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777189: APML 5	2014-05-31	359	264	ILLUMINA	2017-09-13	SRR330929	SRS257348	SRP007826	GSM777189		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709308	GEO	sra	SRX091768	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777190: AML 6	2014-05-31	434	323	ILLUMINA	2017-09-13	SRR330930	SRS257349	SRP007826	GSM777190		Bone Marrow	Bone Marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709309	GEO	sra	SRX091769	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777191: AML 7	2014-05-31	390	270	ILLUMINA	2017-09-13	SRR330931	SRS257350	SRP007826	GSM777191		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709310	GEO	sra	SRX091770	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777192: APML 8	2014-05-31	284	223	ILLUMINA	2017-09-13	SRR330932	SRS257351	SRP007826	GSM777192		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709311	GEO	sra	SRX091771	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777193: APML 9 (rep I)	2014-05-31	455	332	ILLUMINA	2017-09-13	SRR330933	SRS257352	SRP007826	GSM777193		Peripheral Blood (IBM enriched)	Peripheral Blood (IBM enriched)	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		36	PRJNA145991	SAMN00709312	GEO	sra	SRX091772	0	Illumina Genome Analyzer II	SINGLE	size fractionation	GSM777194: AML 10	2014-05-31	394	294	ILLUMINA	2017-09-13	SRR330934	SRS257353	SRP007826	GSM777194		Peripheral Blood	Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
