Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_type	disease	source_name	tissue	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		51	PRJNA230811	SAMN02437848	GEO	sra	SRX388216	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	490	392	ILLUMINA	2014-07-02	SRR1044425	SRS512103	SRP033566	GSM1281717	51		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437842	GEO	sra	SRX388217	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	121	94	ILLUMINA	2014-07-02	SRR1044426	SRS512104	SRP033566	GSM1281718	51		None	healthy control-serum-untreated	Serum	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437845	GEO	sra	SRX388218	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	159	126	ILLUMINA	2014-07-02	SRR1044427	SRS512105	SRP033566	GSM1281719	41		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437850	GEO	sra	SRX388219	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	63	50	ILLUMINA	2014-07-02	SRR1044428	SRS512106	SRP033566	GSM1281720	41		None	healthy control-serum-untreated	Serum	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437847	GEO	sra	SRX388220	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	47	37	ILLUMINA	2014-07-02	SRR1044429	SRS512107	SRP033566	GSM1281721	49		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437844	GEO	sra	SRX388221	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	40	32	ILLUMINA	2014-07-02	SRR1044430	SRS512108	SRP033566	GSM1281722	49		None	healthy control-serum-untreated	Serum	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437849	GEO	sra	SRX388222	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	164	131	ILLUMINA	2014-07-02	SRR1044431	SRS512109	SRP033566	GSM1281723	69		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437843	GEO	sra	SRX388224	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	139	108	ILLUMINA	2014-07-02	SRR1044433	SRS512110	SRP033566	GSM1281725	62		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437851	GEO	sra	SRX388223	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	29	23	ILLUMINA	2014-07-02	SRR1044432	SRS512111	SRP033566	GSM1281724	69		None	healthy control-serum-untreated	Serum	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA230811	SAMN02437852	GEO	sra	SRX388225	0	Illumina HiSeq 2000	SINGLE	size fractionation		2013-12-06	79	60	ILLUMINA	2014-07-02	SRR1044434	SRS512112	SRP033566	GSM1281726	49		None	healthy control-plasma-untreated	Plasma	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
