Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	Experiment	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_type	isolate	patient_phenotype	run_label	seasonality	source_name	timepoint	tissue	treatment	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySource	Organism	analyte	biomaterial_provider	health_state	sex
RNA-Seq	51	PRJNA287538	SAMN04028900	GEO	SRX1182514	Illumina HiSeq 2500	cDNA		2015-09-04	153	69	ILLUMINA	2017-01-03	SRR2240322	SRS1054803	SRP059689	GSM1868723		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028901	GEO	SRX1182515	Illumina HiSeq 2500	cDNA		2015-09-04	194	88	ILLUMINA	2017-01-03	SRR2240323	SRS1054802	SRP059689	GSM1868724		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028901	GEO	SRX1182515	Illumina HiSeq 2500	cDNA		2015-09-04	0	0	ILLUMINA	2017-01-03	SRR2240324	SRS1054802	SRP059689	GSM1868724		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028901	GEO	SRX1182515	Illumina HiSeq 2500	cDNA		2015-09-04	191	86	ILLUMINA	2017-01-03	SRR2240325	SRS1054802	SRP059689	GSM1868724		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028902	GEO	SRX1182516	Illumina HiSeq 2500	cDNA		2015-09-04	159	71	ILLUMINA	2017-01-03	SRR2240326	SRS1054801	SRP059689	GSM1868725		memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028902	GEO	SRX1182516	Illumina HiSeq 2500	cDNA		2015-09-04	155	69	ILLUMINA	2017-01-03	SRR2240327	SRS1054801	SRP059689	GSM1868725		memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028903	GEO	SRX1182517	Illumina HiSeq 2500	cDNA		2015-09-04	139	62	ILLUMINA	2017-01-03	SRR2240328	SRS1054800	SRP059689	GSM1868726		central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028903	GEO	SRX1182517	Illumina HiSeq 2500	cDNA		2015-09-04	137	60	ILLUMINA	2017-01-03	SRR2240329	SRS1054800	SRP059689	GSM1868726		central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028904	GEO	SRX1182518	Illumina HiSeq 2500	cDNA		2015-09-04	184	83	ILLUMINA	2017-01-03	SRR2240330	SRS1054799	SRP059689	GSM1868727		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028904	GEO	SRX1182518	Illumina HiSeq 2500	cDNA		2015-09-04	181	81	ILLUMINA	2017-01-03	SRR2240332	SRS1054799	SRP059689	GSM1868727		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
