Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	flow_cell_id	group	libraryid	phase	source_name	stim	tissue	DATASTORE_provider
RNA-Seq		152	PRJEB1587	SAMEA2056729	Centro Nacional de Análisis Genómico	public	sra	ERX211555	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	173-1	2016-05-01	8520	5838	Homo sapiens	ILLUMINA	2016-05-01	ERR237015	ERS221201	ERP002323	E-SYBR-3:173-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056867	Centro Nacional de Análisis Genómico	public	sra	ERX211577	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	603-2	2016-05-01	10091	6690	Homo sapiens	ILLUMINA	2016-05-01	ERR237018	ERS221223	ERP002323	E-SYBR-3:603-2									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056748	Centro Nacional de Análisis Genómico	public	sra	ERX211575	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	604-1	2016-05-01	7926	5517	Homo sapiens	ILLUMINA	2016-05-01	ERR237019	ERS221221	ERP002323	E-SYBR-3:604-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056737	Centro Nacional de Análisis Genómico	public	sra	ERX211563	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	449-2	2016-05-01	12686	9055	Homo sapiens	ILLUMINA	2016-05-01	ERR237020	ERS221209	ERP002323	E-SYBR-3:449-2									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056872	Centro Nacional de Análisis Genómico	public	sra	ERX211582	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	408-1	2016-05-01	7805	5530	Homo sapiens	ILLUMINA	2016-05-01	ERR237021	ERS221228	ERP002323	E-SYBR-3:408-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056744	Centro Nacional de Análisis Genómico	public	sra	ERX211570	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	408-2	2016-05-01	9849	7032	Homo sapiens	ILLUMINA	2016-05-01	ERR237022	ERS221216	ERP002323	E-SYBR-3:408-2									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056869	Centro Nacional de Análisis Genómico	public	sra	ERX211579	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	408-3	2016-05-01	10867	7782	Homo sapiens	ILLUMINA	2016-05-01	ERR237025	ERS221225	ERP002323	E-SYBR-3:408-3									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056741	Centro Nacional de Análisis Genómico	public	sra	ERX211567	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	425-1	2016-05-01	9015	6094	Homo sapiens	ILLUMINA	2016-05-01	ERR237026	ERS221213	ERP002323	E-SYBR-3:425-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056742	Centro Nacional de Análisis Genómico	public	sra	ERX211568	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	403-1	2016-05-01	11496	8587	Homo sapiens	ILLUMINA	2016-05-01	ERR237028	ERS221214	ERP002323	E-SYBR-3:403-1									ncbi
RNA-Seq		152	PRJEB1587	SAMEA2056746	Centro Nacional de Análisis Genómico	public	sra	ERX211572	150	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	151-1	2016-05-01	9973	7158	Homo sapiens	ILLUMINA	2016-05-01	ERR237029	ERS221218	ERP002323	E-SYBR-3:151-1									ncbi
