Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	drug	library_construction	source_name	Consent	DATASTORE_provider	LibrarySource	Organism
OTHER		100	PRJNA137657	SAMN00205363	GEO	sra	SRX040501	350	Illumina Genome Analyzer II	PAIRED	cDNA	GSM665127: BT20_mRNA	2014-05-29	3147	2027	ILLUMINA	2011-03-29	SRR097786	SRS166971	SRP005601	GSM665127			Breast Cancer Cell Line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA297219	SAMN04122158	GEO	sra	SRX1293292	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-28	1791	1270	ILLUMINA	2016-01-14	SRR2532319	SRS1094701	SRP064259	GSM1897279			breast cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
miRNA-Seq	GCF_000001405.29	23	PRJEB12989	SAMEA3891599	Illumina R&D department	sra	ERX1378621	0	Illumina Genome Analyzer	SINGLE	RANDOM	Sample 4	2016-03-20	321	144	ILLUMINA	2016-03-15	ERR1306998	ERS1078733	ERP014524	SAMEA3891599				public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856854	GEO	sra	SRX1705383	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	71	51	ILLUMINA	2016-05-02	SRR3384220	SRS1397655	SRP073318	GSM2123960			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856855	GEO	sra	SRX1705384	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	109	78	ILLUMINA	2016-05-02	SRR3384221	SRS1397654	SRP073318	GSM2123961			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856856	GEO	sra	SRX1705385	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	131	94	ILLUMINA	2016-05-02	SRR3384222	SRS1397653	SRP073318	GSM2123962			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856857	GEO	sra	SRX1705386	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	130	95	ILLUMINA	2016-05-02	SRR3384223	SRS1397652	SRP073318	GSM2123963			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856852	GEO	sra	SRX1705387	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	98	71	ILLUMINA	2016-05-02	SRR3384224	SRS1397651	SRP073318	GSM2123964			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856853	GEO	sra	SRX1705388	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	118	86	ILLUMINA	2016-05-02	SRR3384225	SRS1397650	SRP073318	GSM2123965			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856858	GEO	sra	SRX1705389	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	86	63	ILLUMINA	2016-05-02	SRR3384226	SRS1397649	SRP073318	GSM2123966			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		45	PRJNA318513	SAMN04856859	GEO	sra	SRX1705390	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-04-14	176	129	ILLUMINA	2016-05-02	SRR3384227	SRS1397648	SRP073318	GSM2123967			BT20	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
