Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	population	Consent	Strain
OTHER	108	PRJEB2123	SAMEA1013419	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004334	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA07347_1	2014-05-31	1897	1309	Homo sapiens	ILLUMINA	2012-01-02	ERR011377	ERS008772	ERP000177	NA07347		public	
OTHER	108	PRJEB2123	SAMEA1013419	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004334	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA07347_1	2014-05-31	2034	1379	Homo sapiens	ILLUMINA	2012-01-02	ERR011378	ERS008772	ERP000177	NA07347		public	
OTHER	108	PRJEB2123	SAMEA1013421	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004335	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12045_1	2014-05-31	1950	1271	Homo sapiens	ILLUMINA	2012-01-02	ERR011379	ERS008773	ERP000177	NA12045		public	
OTHER	108	PRJEB2123	SAMEA1013421	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004335	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12045_1	2014-05-31	1984	1305	Homo sapiens	ILLUMINA	2012-01-02	ERR011380	ERS008773	ERP000177	NA12045		public	
WGS	108	PRJEB2123	SAMEA1013420	University of Geneva	sra	ncbi	2010-04-14	2013-11-04	ERX004339	250	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	PhiX	2014-05-31	1750	1155	Enterobacteria phage phiX174 sensu lato	ILLUMINA	2012-01-02	ERR011381	ERS008777	ERP000177	Phi X 174		public	
OTHER	108	PRJEB2123	SAMEA1013424	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004336	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11919_1	2014-05-31	1897	1222	Homo sapiens	ILLUMINA	2012-01-02	ERR011382	ERS008774	ERP000177	NA11919		public	
OTHER	108	PRJEB2123	SAMEA1013423	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004338	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12489_1	2014-05-31	1731	1116	Homo sapiens	ILLUMINA	2012-01-02	ERR011383	ERS008776	ERP000177	NA12489		public	
OTHER	108	PRJEB2123	SAMEA1013422	University of Geneva	sra	ncbi	2010-04-14	2018-03-08	ERX004337	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11894_1	2014-05-31	1936	1266	Homo sapiens	ILLUMINA	2012-01-02	ERR011384	ERS008775	ERP000177	NA11894		public	
OTHER	108	PRJEB2123	SAMEA1013419	Leiden University Medical Center	sra	ncbi	2010-04-14	2018-03-08	ERX004373	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	GM07347	2014-05-31	1377	928	Homo sapiens	ILLUMINA	2012-01-02	ERR011418	ERS008772	ERP000177	NA07347		public	
OTHER	108	PRJEB2123	SAMEA1013421	Leiden University Medical Center	sra	ncbi	2010-04-14	2018-03-08	ERX004374	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	GM12045	2014-05-31	1332	919	Homo sapiens	ILLUMINA	2012-01-02	ERR011419	ERS008773	ERP000177	NA12045		public	
OTHER	108	PRJEB2123	SAMEA1013424	Leiden University Medical Center	sra	ncbi	2010-04-14	2018-03-08	ERX004375	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	GM11919	2014-05-31	1187	818	Homo sapiens	ILLUMINA	2012-01-02	ERR011420	ERS008774	ERP000177	NA11919		public	
OTHER	108	PRJEB2123	SAMEA1013422	Leiden University Medical Center	sra	ncbi	2010-04-14	2018-03-08	ERX004376	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	GM11894	2014-05-31	1381	952	Homo sapiens	ILLUMINA	2012-01-02	ERR011421	ERS008775	ERP000177	NA11894		public	
OTHER	108	PRJEB2123	SAMEA1013423	Leiden University Medical Center	sra	ncbi	2010-04-14	2018-03-08	ERX004377	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	GM12489	2012-08-18	1171	856	Homo sapiens	ILLUMINA	2012-01-02	ERR011422	ERS008776	ERP000177	NA12489		public	
WGS	108	PRJEB2123	SAMEA1013420	Leiden University Medical Center	sra	ncbi	2010-04-14	2013-11-04	ERX004378	300	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	PhiX	2012-08-19	1755	1314	Enterobacteria phage phiX174 sensu lato	ILLUMINA	2012-01-02	ERR011423	ERS008777	ERP000177	Phi X 174		public	
OTHER	108	PRJEB2123	SAMEA1013419	Centre for Genomic Regulation, Barcelona	Illumina_native_qseqsra	ftp-enancbi	2010-04-14	2018-03-08	ERX004384	200	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA07347_1	2015-01-24	1473	996	Homo sapiens	ILLUMINA	2012-01-02	ERR011429	ERS008772	ERP000177	NA07347		public	
OTHER	108	PRJEB2123	SAMEA1013421	Centre for Genomic Regulation, Barcelona	Illumina_native_qseqsra	ftp-enancbi	2010-04-14	2018-03-08	ERX004385	200	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12045_1	2015-01-24	1727	1161	Homo sapiens	ILLUMINA	2012-01-02	ERR011430	ERS008773	ERP000177	NA12045		public	
OTHER	108	PRJEB2123	SAMEA1013424	Centre for Genomic Regulation, Barcelona	Illumina_native_qseqsra	ftp-enancbi	2010-04-14	2018-03-08	ERX004386	200	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11919_1	2015-01-24	1522	1024	Homo sapiens	ILLUMINA	2012-01-02	ERR011431	ERS008774	ERP000177	NA11919		public	
OTHER	108	PRJEB2123	SAMEA1013422	Centre for Genomic Regulation, Barcelona	Illumina_native_qseqsra	ftp-enancbi	2010-04-14	2018-03-08	ERX004387	200	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11894_1	2015-01-24	959	639	Homo sapiens	ILLUMINA	2012-01-02	ERR011432	ERS008775	ERP000177	NA11894		public	
OTHER	108	PRJEB2123	SAMEA1013423	Centre for Genomic Regulation, Barcelona	Illumina_native_qseqsra	ftp-enancbi	2010-04-14	2018-03-08	ERX004388	200	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12489_1	2015-01-24	1199	802	Homo sapiens	ILLUMINA	2012-01-02	ERR011433	ERS008776	ERP000177	NA12489		public	
OTHER	220	PRJEB2123	SAMEA1013419	Uppsala University SNP Technology Platform	sra	ncbi	2010-04-14	2018-03-08	ERX004389	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA07347_1	2014-05-31	5147	2589	Homo sapiens	ILLUMINA	2012-01-02	ERR011434	ERS008772	ERP000177	NA07347		public	
OTHER	220	PRJEB2123	SAMEA1013421	Uppsala University SNP Technology Platform	sra	ncbi	2010-04-14	2018-03-08	ERX004390	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12045_1	2014-05-31	6089	3055	Homo sapiens	ILLUMINA	2012-01-02	ERR011435	ERS008773	ERP000177	NA12045		public	
WGS	220	PRJEB2123	SAMEA1013420	Uppsala University SNP Technology Platform	sra	ncbi	2010-04-14	2013-11-04	ERX004394	250	Illumina Genome Analyzer II	PAIRED	RANDOM	GENOMIC	PhiX	2014-05-31	5645	2798	Enterobacteria phage phiX174 sensu lato	ILLUMINA	2012-01-02	ERR011436	ERS008777	ERP000177	Phi X 174		public	
OTHER	220	PRJEB2123	SAMEA1013424	Uppsala University SNP Technology Platform	sra	ncbi	2010-04-14	2018-03-08	ERX004391	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11919_1	2014-05-31	4352	2179	Homo sapiens	ILLUMINA	2012-01-02	ERR011437	ERS008774	ERP000177	NA11919		public	
OTHER	220	PRJEB2123	SAMEA1013423	Uppsala University SNP Technology Platform	sra	ncbi	2010-04-14	2018-03-08	ERX004393	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA12489_1	2014-05-31	2434	1175	Homo sapiens	ILLUMINA	2012-01-02	ERR011438	ERS008776	ERP000177	NA12489		public	
OTHER	220	PRJEB2123	SAMEA1013422	Uppsala University SNP Technology Platform	sra	ncbi	2010-04-14	2018-03-08	ERX004392	250	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	NA11894_1	2014-05-31	4654	2328	Homo sapiens	ILLUMINA	2012-01-02	ERR011439	ERS008775	ERP000177	NA11894		public	
OTHER	102	PRJEB2123	SAMEA1013424	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004405	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib78	2014-11-23	2033	1503	Homo sapiens	ILLUMINA	2012-01-02	ERR011450	ERS008774	ERP000177	NA11919		public	
OTHER	102	PRJEB2123	SAMEA1013423	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004406	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib79	2014-11-23	1838	1268	Homo sapiens	ILLUMINA	2012-01-02	ERR011451	ERS008776	ERP000177	NA12489		public	
OTHER	102	PRJEB2123	SAMEA1013422	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004407	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib70	2014-11-23	1944	1378	Homo sapiens	ILLUMINA	2012-01-02	ERR011452	ERS008775	ERP000177	NA11894		public	
OTHER	102	PRJEB2123	SAMEA1013419	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004408	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib71	2014-11-23	1879	1243	Homo sapiens	ILLUMINA	2012-01-02	ERR011453	ERS008772	ERP000177	NA07347		public	
OTHER	102	PRJEB2123	SAMEA1013421	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004409	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib72	2014-11-23	1876	1303	Homo sapiens	ILLUMINA	2012-01-02	ERR011454	ERS008773	ERP000177	NA12045		public	
OTHER	102	PRJEB2123	SAMEA1013424	Max Planck Institute for Molecular Genetics	fastq1fastq2sra	ftp-enancbi	2010-04-14	2018-03-08	ERX004410	300	Illumina Genome Analyzer II	PAIRED	RANDOM	OTHER	pelib73	2014-11-23	1325	755	Homo sapiens	ILLUMINA	2012-01-02	ERR011455	ERS008774	ERP000177	NA11919		public	
