Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_line	cell_type	source_name	Consent	DATASTORE_provider	LibrarySource	Organism	drug	library_construction
RNA-Seq		50	PRJNA318380	SAMN04849727	GEO	sra	SRX1702501	0	NextSeq 500	SINGLE	cDNA		2016-04-13	2009	1283	ILLUMINA	2017-09-01	SRR3376074	SRS1397619	SRP073247	GSM2122587	LNCaP-abl (abl)		RNASeq_abl_GSK	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA318380	SAMN04849726	GEO	sra	SRX1702500	0	NextSeq 500	SINGLE	cDNA		2016-04-13	1319	793	ILLUMINA	2017-09-01	SRR3376073	SRS1397620	SRP073247	GSM2122586	LNCaP-abl (abl)		RNASeq_abl_GSK	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA318380	SAMN04849725	GEO	sra	SRX1702499	0	NextSeq 500	SINGLE	cDNA		2016-04-13	1749	1119	ILLUMINA	2017-09-01	SRR3376072	SRS1397621	SRP073247	GSM2122585	LNCaP-abl (abl)		RNASeq_abl_PEZ	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA318380	SAMN04849724	GEO	sra	SRX1702498	0	NextSeq 500	SINGLE	cDNA		2016-04-13	1510	914	ILLUMINA	2017-09-01	SRR3376071	SRS1397622	SRP073247	GSM2122584	LNCaP-abl (abl)		RNASeq_abl_EPZ	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA318380	SAMN04849723	GEO	sra	SRX1702497	0	NextSeq 500	SINGLE	cDNA		2016-04-13	1585	1020	ILLUMINA	2017-09-01	SRR3376070	SRS1397623	SRP073247	GSM2122583	LNCaP-abl (abl)		RNASeq_abl_DMSO	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA318380	SAMN04849731	GEO	sra	SRX1702496	0	NextSeq 500	SINGLE	cDNA		2016-04-13	1703	1030	ILLUMINA	2017-09-01	SRR3376069	SRS1397624	SRP073247	GSM2122582	LNCaP-abl (abl)		RNASeq_abl_DMSO	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320338	GEO	sra	SRX2550994	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1304	489	ILLUMINA	2017-03-09	SRR5244284	SRS1968977	SRP099217	GSM2482835	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320338	GEO	sra	SRX2550994	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1335	494	ILLUMINA	2017-03-09	SRR5244285	SRS1968977	SRP099217	GSM2482835	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320339	GEO	sra	SRX2550993	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1108	415	ILLUMINA	2017-03-09	SRR5244282	SRS1968978	SRP099217	GSM2482834	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		60	PRJNA374038	SAMN06320339	GEO	sra	SRX2550993	0	Illumina HiSeq 3000	SINGLE	cDNA		2017-02-10	1144	423	ILLUMINA	2017-03-09	SRR5244283	SRS1968978	SRP099217	GSM2482834	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
